"Start of Period","","","01/04/2026"
"End of Period","","","08/09/2026"
"Account No.","","","9999999999999999","NAME SURNAME"
"Currency","","","AMD","Armenian Dram"
"TIN","","","12345678"

"Opening Balance on 01/04/2026","","","0.00"
"Debit Turnover","","","2,025.00"
"Credit Turnover","","","100,000.00"
"Closing Balance on 08/09/2026","","","100,500.99"
"Closing Available Balance","","","100,500.99"

Date,Doc.No.,Type,Account,Details,Debit,Credit,Remitter/Beneficiary,
08/01/2026,000133,TRF,9999999999999999,personal funds transfer,0.00,"100,000.00",ՄԱԿdelays DELAYS ԱՁ,
08/01/2026,218469,MSC,8888888888888888,Ք: YEREVAN CITY AVAN YEREVAN AM 19,"2,025.00",0.00,,

"Days Count","","","161"
