"Start of Period","","","01/04/2024"
"End of Period","","","08/09/2024"
"Account No.","","","7777777777777777","NAME SURNAME"
"Currency","","","USD","US Dollar"
"TIN","","","12345678"

"Opening Balance on 01/04/2024","","","0.00"
"Debit Turnover","","","0.00"
"Credit Turnover","","","2,790.00"
"Closing Balance on 08/09/2024","","","2,790.00"
"Closing Available Balance","","","2,790.00"

Date,Doc.No.,Type,Account,Details,Debit,Credit,Remitter/Beneficiary,
06/05/2024,0124JO,TRF,26867864,/ROC/5172400124JO///URI/SOME COMPANY LLC/PURPOSE/OTHR,0.00,"2,790.00",ALEKSANDR MAKAROV,

"Days Count","","","161"
